"App name","Date","Time","Duration"
"Contacts","4/19/24","9:21:32 AM","0:00:01"
"Truecaller","4/19/24","9:21:28 AM","0:00:04"
"Screen on (unlocked)","4/19/24","9:21:28 AM","0:00:00"
"Truecaller","4/19/24","9:21:27 AM","0:00:01"
"Screen on (locked)","4/19/24","9:21:26 AM","0:00:01"
"Screen off (locked)","4/19/24","9:18:18 AM","0:03:08"
"Screen on (locked)","4/19/24","9:18:08 AM","0:00:11"
"Screen off (locked)","4/19/24","9:12:18 AM","0:05:50"
"Screen on (locked)","4/19/24","9:12:08 AM","0:00:10"
"Screen off (locked)","4/19/24","9:11:48 AM","0:00:19"
"Truecaller","4/19/24","9:11:47 AM","0:00:01"
"Messages","4/19/24","9:11:46 AM","0:00:01"
"Truecaller","4/19/24","9:11:43 AM","0:00:04"
"Contacts","4/19/24","9:11:41 AM","0:00:01"
"Phone","4/19/24","9:11:41 AM","0:00:01"
"Screen on (unlocked)","4/19/24","9:11:40 AM","0:00:00"
"Screen off","4/19/24","9:11:22 AM","0:00:18"
"Phone","4/19/24","9:11:15 AM","0:00:07"
"Screen on (unlocked)","4/19/24","9:11:15 AM","0:00:00"
"Screen off","4/19/24","9:11:13 AM","0:00:02"
"Phone","4/19/24","9:11:08 AM","0:00:05"
"Contacts","4/19/24","9:11:05 AM","0:00:03"
"Clash of Clans","4/19/24","9:08:33 AM","0:02:27"
"Truecaller","4/19/24","9:08:31 AM","0:00:02"
"Clash of Clans","4/19/24","8:59:45 AM","0:08:46"
"Google Play Store","4/19/24","8:59:41 AM","0:00:03"
"Clash of Clans","4/19/24","8:59:37 AM","0:00:04"
"Chess","4/19/24","8:57:44 AM","0:01:50"
"Screen on (unlocked)","4/19/24","8:57:44 AM","0:00:00"
"Screen off","4/19/24","8:57:41 AM","0:00:03"
"Chess","4/19/24","8:57:26 AM","0:00:14"
"Screen on (unlocked)","4/19/24","8:57:22 AM","0:00:00"
"Screen off","4/19/24","8:57:21 AM","0:00:01"
"Screen off (locked)","4/19/24","8:56:34 AM","0:00:47"
"Instagram","4/19/24","8:52:34 AM","0:03:57"
"WhatsApp","4/19/24","8:52:32 AM","0:00:02"
"Instagram","4/19/24","8:42:01 AM","0:10:32"
"Instagram","4/19/24","8:41:49 AM","0:00:08"
"WhatsApp","4/19/24","8:39:47 AM","0:01:47"
"Screen on (unlocked)","4/19/24","8:39:33 AM","0:00:00"
"Screen off","4/19/24","8:39:32 AM","0:00:01"
"Screen off (locked)","4/19/24","8:23:01 AM","0:16:32"
"Screen on (locked)","4/19/24","8:22:50 AM","0:00:11"
"Screen off (locked)","4/19/24","8:22:26 AM","0:00:24"
"Screen on (locked)","4/19/24","8:22:15 AM","0:00:11"
"Screen off (locked)","4/19/24","8:21:51 AM","0:00:25"
"Screen on (locked)","4/19/24","8:21:40 AM","0:00:11"
"Screen off (locked)","4/19/24","8:21:11 AM","0:00:29"
"Screen on (locked)","4/19/24","8:21:00 AM","0:00:11"
"Screen off (locked)","4/19/24","8:20:23 AM","0:00:37"
"Screen on (locked)","4/19/24","8:20:13 AM","0:00:10"
"Screen off (locked)","4/19/24","8:20:12 AM","0:00:01"
"Screen on (locked)","4/19/24","8:20:01 AM","0:00:10"
"Screen off (locked)","4/19/24","7:59:18 AM","0:20:43"
"Screen on (locked)","4/19/24","7:59:08 AM","0:00:10"
"Screen off (locked)","4/19/24","7:30:50 AM","0:28:18"
"Screen on (locked)","4/19/24","7:30:40 AM","0:00:10"
"Screen off (locked)","4/19/24","7:09:06 AM","0:21:35"
"Screen on (locked)","4/19/24","7:08:55 AM","0:00:11"
"Screen off (locked)","4/19/24","7:08:45 AM","0:00:10"
"Screen on (locked)","4/19/24","7:08:34 AM","0:00:11"
"Screen off (locked)","4/19/24","7:08:25 AM","0:00:09"
"Screen on (locked)","4/19/24","7:08:15 AM","0:00:11"
"Screen off (locked)","4/19/24","7:08:12 AM","0:00:03"
"Screen on (locked)","4/19/24","7:08:02 AM","0:00:10"
"Screen off (locked)","4/19/24","5:02:34 AM","2:05:28"
"Screen on (locked)","4/19/24","5:02:21 AM","0:00:13"
"Screen off (locked)","4/19/24","1:57:19 AM","3:05:02"
"Screen on (locked)","4/19/24","1:57:09 AM","0:00:10"
"Screen off (locked)","4/19/24","1:33:34 AM","0:23:34"
"Screen on (locked)","4/19/24","1:33:24 AM","0:00:10"
"Screen off (locked)","4/19/24","12:08:47 AM","1:24:37"
"Instagram","4/19/24","12:00:00 AM","0:08:46"
"Instagram","4/18/24","11:18:33 PM","0:41:27"
"Chrome","4/18/24","11:17:27 PM","0:00:57"
"Instagram","4/18/24","11:11:35 PM","0:05:52"
"Chrome","4/18/24","11:04:43 PM","0:06:52"
"Instagram","4/18/24","11:03:06 PM","0:01:36"
"Chrome","4/18/24","10:58:29 PM","0:04:36"
"Instagram","4/18/24","10:42:48 PM","0:15:40"
"Google Play Store","4/18/24","10:42:16 PM","0:00:32"
"Instagram","4/18/24","10:37:05 PM","0:05:06"
"WhatsApp","4/18/24","10:36:27 PM","0:00:38"
